verbe;1809;abandonner
verbe;754;abattre
subst.;642;abri
subst.;1081;absence
adj.;664;absolu
adv.;946;absolument
subst.;740;accent
verbe;2585;accepter
verbe;1769;accompagner
verbe;1105;accomplir
subst.;1746;accord
verbe;1264;accorder
verbe;847;accrocher
verbe;926;accuser
verbe;2134;acheter
verbe;1262;achever
subst.;1725;acte
subst.;2942;action
verbe;873;admettre
verbe;1763;adresser
subst.;5179;affaire
verbe;1119;affirmer
prép.;2452;afin de
subst.;2490;âge
adj.;676;âgé
subst.;771;agent
verbe;3753;agir
verbe;1238;agiter
interj.;6138;ah
subst.;1434;aide
verbe;1918;aider
subst.;1426;aile
adv.;5629;ailleurs
verbe;14138;aimer
adv.;11296;ainsi
subst.;9755;air
verbe;3755;ajouter
verbe;41702;aller
verbe;1373;allumer
adv.;15639;alors
subst.;7255;âme
verbe;1731;amener
subst.;8744;ami
subst.;8283;amour
verbe;1329;amuser
subst.;11274;an
adj.;3190;ancien
adj.;868;anglais
subst.;1135;anglais
subst.;793;angoisse
subst.;1296;animal
verbe;782;animer
subst.;6004;année
verbe;2146;annoncer
verbe;4904;apercevoir
verbe;2645;apparaître
subst.;882;apparence
subst.;1384;appartement
verbe;2069;appartenir
subst.;1378;appel
verbe;6892;appeler
verbe;3053;apporter
verbe;3616;apprendre
verbe;2272;approcher
verbe;1884;appuyer
adv.;1882;après
prép.;14606;après
subst.;4070;arbre
subst.;3876;argent
subst.;1543;arme
subst.;1386;armée
verbe;667;armer
verbe;1503;arracher
verbe;5812;arrêter
subst.;1370;arrière
subst.;924;arrivée
verbe;10288;arriver
subst.;2077;art
subst.;2507;article
subst.;797;as
subst.;1251;aspect
verbe;5417;asseoir
adv.;6090;assez
verbe;829;assister
verbe;2118;assurer
verbe;1645;attacher
verbe;872;attaquer
verbe;2190;atteindre
verbe;8851;attendre
subst.;1952;attention
verbe;1348;attirer
subst.;1014;attitude
dét.;123502;au
dét.;5774;aucun
pron.;1078;aucun
adv.;4915;aujourd'hui
prép.;1955;auprès
pron.;2440;auquel
adv.;18311;aussi
adv.;2068;aussitôt
adv.;3834;autant
subst.;1318;auteur
subst.;955;autorité
adv.;4764;autour
adj.;14688;autre
pron.;13063;autre
adv.;1740;autrefois
adv.;899;autrement
subst.;956;avance
verbe;2544;avancer
adv.;1372;avant
prép.;7425;avant
adv.;1105;avec
prép.;55081;avec
subst.;2143;avenir
subst.;1085;aventure
subst.;1582;avis
verbe;248488;avoir
verbe;1262;avouer
verbe;1370;baisser
subst.;873;banc
subst.;608;bande
subst.;837;barbe
adj.;5087;bas
adv.;620;bas
subst.;1892;bas
subst.;1060;bataille
verbe;2678;battre
adj.;9870;beau
adv.;655;beau
subst.;1037;beau
adv.;6399;beaucoup
subst.;2054;beauté
adj.;1489;beaux
subst.;4908;besoin
subst.;1706;bête
adv.;37171;bien
subst.;2101;bien
adv.;2839;bientôt
subst.;1022;billet
adj.;6246;blanc
subst.;972;blanc
adj.;2906;bleu
adj.;652;blond
verbe;2937;boire
subst.;4460;bois
adj.;11483;bon
subst.;1603;bon
subst.;3978;bonheur
subst.;2753;bord
subst.;3266;bouche
subst.;4571;bout
subst.;1115;branche
subst.;6304;bras
verbe;2225;briller
verbe;1601;briser
subst.;5946;bruit
verbe;2218;brûler
adv.;1485;brusquement
subst.;1367;bureau
subst.;1466;but
pron.;16494;ça
subst.;1292;cabinet
verbe;3920;cacher
adj.;1246;calme
subst.;796;calme
verbe;843;calmer
subst.;1471;camarade
subst.;1840;campagne
adj.;1287;capable
conj.;11695;car
subst.;1953;caractère
verbe;784;caresser
subst.;1305;carte
subst.;4058;cas
verbe;778;casser
subst.;3856;cause
verbe;2825;causer
dét.;141389;ce
pron.;107074;ce
pron.;1706;ceci
verbe;902;céder
pron.;14253;cela
pron.;24270;celui
numér.;13798;cent
subst.;2610;centre
adv.;3508;cependant
subst.;944;cercle
adj.;2380;certain
dét.;3667;certain
adv.;696;certainement
adv.;1490;certes
subst.;927;cerveau
subst.;1486;cesse
verbe;2349;cesser
pron.;3890;chacun
